DATE,ABAN
2012-01-20,179.5
2012-01-23,172.3
2012-01-24,169
2012-01-25,168
2012-01-26,165
2012-01-27,180
2012-01-30,183
2012-02-02,185
2012-02-06,177.9
2012-02-08,160
2012-02-09,146.1
2012-02-13,149.3
2012-02-14,135.4
2012-02-15,144
2012-02-16,151.3
2012-02-22,141.9
2012-02-23,144
2012-02-24,150
2012-02-27,122.4
2012-02-28,139
2012-02-29,145
2012-03-01,150
2012-03-02,150
2012-03-05,150
2012-03-06,150
2012-03-08,140
2012-03-09,150
2012-03-12,133.8
2012-03-13,140
2012-03-15,186.8
2012-03-16,157.9
2012-03-19,151.4
2012-03-20,165
2012-03-21,157
2012-03-23,150
2012-03-27,163.8
2012-03-28,147.2
2012-03-29,159
2012-03-30,158
2012-04-03,147
2012-04-04,131.9
2012-04-09,150
2012-04-10,150
2012-04-11,140
2012-04-17,135
2012-04-18,135.1
2012-04-19,135.1
2012-04-20,139.3
2012-04-23,137.5
2012-04-24,138
2012-04-25,137.5
2012-04-26,136
2012-04-27,136
2012-04-30,130
2012-05-02,130
2012-05-03,132
2012-05-08,130
2012-05-09,130
2012-05-10,120
2012-05-11,110.1
2012-05-14,118
2012-05-15,110
2012-05-16,117.4
2012-05-18,118
2012-05-22,110
2012-05-23,102
2012-05-24,100
2012-05-25,100
2012-05-28,100
2012-05-29,100
2012-05-30,99.1
2012-06-01,100
2012-06-05,95
2012-06-06,95
2012-06-07,91.6
2012-06-08,99.9
2012-06-12,93
2012-06-13,91
2012-06-14,92
2012-06-15,93.1
2012-06-18,94
2012-06-19,99.3
2012-06-20,93.6
2012-06-21,99.7
2012-06-22,99.9
2012-06-25,99.9
2012-06-26,111
2012-06-27,100
2012-06-28,98.5
2012-07-02,96.3
2012-07-04,98.8
2012-07-05,91
2012-07-06,94.4
2012-07-09,92.2
2012-07-10,94.7
2012-07-11,92.3
2012-07-12,95
2012-07-13,90.3
2012-07-16,95.8
2012-07-17,90.4
2012-07-18,90.1
2012-07-19,95.2
2012-07-23,102.7
2012-07-24,100.1
2012-07-25,100
2012-07-26,103
2012-07-27,95
2012-07-30,95.8
2012-07-31,94.7
2012-08-02,98.1
2012-08-03,94.7
2012-08-06,97.9
2012-08-07,97
2012-08-08,92.1
2012-08-09,95
2012-08-10,95
2012-08-13,92.2
2012-08-14,93.4
2012-08-15,92
2012-08-16,90.5
2012-08-17,92.9
2012-08-20,97.4
2012-08-21,90.8
2012-08-22,93.1
2012-08-23,96.5
2012-08-27,96
2012-08-28,96.2
2012-08-29,96.1
2012-08-30,96.3
2012-09-03,96.6
2012-09-04,97.6
2012-09-05,98.9
2012-09-06,97.4
2012-09-07,100
2012-09-10,103
2012-09-11,103.5
2012-09-12,104.5
2012-09-13,105
2012-09-14,107.2
2012-09-17,118
2012-09-18,121.1
2012-09-19,112.1
2012-09-20,117
2012-09-21,113.5
2012-09-24,113.9
2012-09-25,112.2
2012-09-26,111
2012-09-27,110.7
2012-10-01,111.2
2012-10-02,106.7
2012-10-03,108.5
2012-10-04,105.4
2012-10-05,107.7
2012-10-08,107.7
2012-10-09,110.2
2012-10-10,109.8
2012-10-12,104
2012-10-15,100
2012-10-16,100
2012-10-17,95.7
2012-10-18,96.1
2012-10-19,99.9
2012-10-22,95.7
2012-10-23,96
2012-10-25,99.8
2012-10-26,96
2012-10-30,96
2012-10-31,95
2012-11-01,95
2012-11-02,95.8
2012-11-05,94.8
2012-11-06,97.3
2012-11-12,96
2012-11-15,95.8
2012-11-16,99.8
2012-11-19,101.8
2012-11-20,95
2012-11-21,91.1
2012-11-22,92.9
2012-11-26,96
2012-11-28,95
2012-11-30,92
2012-12-03,92.4
2012-12-04,92
2012-12-05,90.8
2012-12-06,92
2012-12-07,92
2012-12-10,90
2012-12-11,88.9
2012-12-12,92.1
2012-12-13,92.9
2012-12-14,95.8
2012-12-17,93
2012-12-18,96.7
2012-12-19,95
2012-12-20,93
2012-12-21,92
2012-12-24,92
2012-12-26,95
2012-12-28,96.5
2012-12-31,97.1
2013-01-02,97
2013-01-03,97
2013-01-04,98.8
2013-01-07,97
2013-01-08,97.3
2013-01-10,97.3
2013-01-16,95.5
2013-01-17,97
2013-01-18,95.2
2013-01-21,96
2013-01-22,97
2013-01-23,96.5
2013-01-24,97
2013-01-28,97
2013-01-29,96.1
2013-02-01,94.2
2013-02-05,98.6
2013-02-06,98.9
2013-02-08,97
2013-02-12,96.9
2013-02-14,98.5
2013-02-15,96.6
2013-02-18,95.2
2013-02-19,94
2013-02-20,94
2013-02-21,93.6
2013-02-22,98.9
2013-02-26,94.1
2013-02-27,93.3
2013-02-28,93.3
2013-03-01,90
2013-03-04,92
2013-03-05,89.6
2013-03-06,90.6
2013-03-08,91.7
2013-03-11,91
2013-03-12,90
2013-03-13,92.5
2013-03-14,89.8
2013-03-15,90
2013-03-18,90
2013-03-19,93
2013-03-20,90
2013-03-22,90.4
2013-03-25,90.3
2013-03-27,90
2013-03-28,89.6
2013-04-01,90
2013-04-04,88.5
2013-04-05,88.7
2013-04-08,88.8
2013-04-09,93.9
2013-04-10,93.5
2013-04-11,91.1
2013-04-12,93.5
2013-04-17,92.5
2013-04-18,94.6
2013-04-19,94
2013-04-22,93.1
2013-04-23,93
2013-04-24,90.1
2013-04-26,90
2013-04-29,90
2013-05-03,93
2013-05-06,97.2
2013-05-07,110
2013-05-08,110.2
2013-05-09,106.2
2013-05-10,106.7
2013-05-13,108.1
2013-05-14,106.1
2013-05-15,110
2013-05-16,111.7
2013-05-17,113.9
2013-05-20,122.8
2013-05-21,118.6
2013-05-22,115.3
2013-05-23,117.5
2013-05-27,113.8
2013-05-28,114
2013-05-29,114.1
2013-05-30,118.4
2013-05-31,125.7
2013-06-03,134.8
2013-06-04,160.3
2013-06-05,154.9
2013-06-06,149.4
2013-06-07,149
2013-06-10,140.3
2013-06-11,141
2013-06-12,142.3
2013-06-13,140.1
2013-06-14,145.4
2013-06-17,141.9
2013-06-18,138.2
2013-06-19,138.1
2013-06-20,133.2
2013-06-21,134.1
2013-06-24,135
2013-06-25,128.9
2013-06-26,130.1
2013-06-27,135
2013-07-01,130.5
2013-07-02,132.8
2013-07-04,127.3
2013-07-05,127
2013-07-08,128.8
2013-07-09,128
2013-07-10,130.5
2013-07-11,130
2013-07-12,124
2013-07-16,125
2013-07-17,125
2013-07-18,124.4
2013-07-19,128.3
2013-07-23,124.9
2013-07-24,124
2013-07-25,126.2
2013-07-26,123
2013-07-29,122.7
2013-07-30,126.7
2013-07-31,126.6
2013-08-01,124.7
2013-08-02,125
2013-08-05,125
2013-08-06,124
2013-08-07,122
2013-08-08,120.6
2013-08-12,121.8
2013-08-13,125
2013-08-14,124.9
2013-08-15,118.7
2013-08-16,125.9
2013-08-21,123
2013-08-22,122
2013-08-23,121.3
2013-08-26,119.9
2013-08-27,119.9
2013-08-28,115.9
2013-08-29,118
2013-08-30,118
2013-09-02,120.1
2013-09-03,119.2
2013-09-04,117.4
2013-09-05,114.7
2013-09-09,115
2013-09-10,114.1
2013-09-11,116.8
2013-09-13,116.4
2013-09-16,120
2013-09-17,122
2013-09-18,120.9
2013-09-20,125
2013-09-23,124.9
2013-09-24,120
2013-09-25,109
2013-09-27,108.7
2013-09-30,102.5
2013-10-01,95.3
2013-10-02,96.5
2013-10-03,98
2013-10-04,99
2013-10-07,99
2013-10-08,99.6
2013-10-09,99.5
2013-10-10,99.8
2013-10-11,98.3
2013-10-14,98.9
2013-10-15,101.4
2013-10-17,101
2013-10-21,98
2013-10-22,97
2013-10-23,95.9
2013-10-24,99.9
2013-10-25,100
2013-10-28,100
2013-10-29,100
2013-10-30,99
2013-11-01,100.6
2013-11-04,99.1
2013-11-05,99.1
2013-11-06,98.2
2013-11-07,98.2
2013-11-08,100
2013-11-11,100
2013-11-12,98.6
2013-11-13,98.6
2013-11-14,98
2013-11-15,99
2013-11-18,101.8
2013-11-19,98.7
2013-11-20,106.7
2013-11-21,107.2
2013-11-22,109.8
2013-11-25,105.2
2013-11-26,103.1
2013-11-27,106
2013-11-28,108
2013-11-29,103
2013-12-02,103.5
2013-12-03,102.8
2013-12-04,103
2013-12-05,106.6
2013-12-06,106.6
2013-12-09,103.1
2013-12-10,101.2
2013-12-11,104.6
2013-12-12,105.3
2013-12-13,104
2013-12-17,104
2013-12-18,103.3
2013-12-19,105.2
2013-12-20,106.3
2013-12-23,106.6
2013-12-24,103.3
2013-12-26,103.5
2013-12-27,107.3
2013-12-30,108
2013-12-31,105.1
2014-01-02,113.9
2014-01-03,110.5
2014-01-06,108
2014-01-07,110
2014-01-08,110
2014-01-09,111.7
2014-01-10,110.6
2014-01-13,111.9
2014-01-16,110.9
2014-01-17,111.8
2014-01-20,109.4
2014-01-21,110.3
2014-01-22,110.9
2014-01-23,111.8
2014-01-24,110
2014-01-27,110
2014-01-28,108.6
2014-01-29,108
2014-01-30,108.8
2014-01-31,109.5
2014-02-03,108.6
2014-02-05,107.3
2014-02-06,108.4
2014-02-07,108.3
2014-02-10,106
2014-02-11,104.5
2014-02-12,103
2014-02-13,104.8
2014-02-17,100.6
2014-02-18,106
2014-02-19,103.1
2014-02-20,100.6
2014-02-21,101
2014-02-24,101
2014-02-25,99.9
2014-02-26,102.4
2014-02-28,103.8
2014-03-03,101.1
2014-03-04,99.9
2014-03-05,100.1
2014-03-07,99.9
2014-03-10,100.2
2014-03-11,99.1
2014-03-12,102.4
2014-03-13,99
2014-03-14,99.4
2014-03-17,100
2014-03-18,98.2
2014-03-19,101
2014-03-20,100.2
2014-03-21,100
2014-03-24,100.2
2014-03-25,99.2
2014-03-26,99.8
2014-03-27,99.2
2014-03-28,100
2014-03-31,99.2
2014-04-01,100
2014-04-02,99.9
2014-04-03,99.7
2014-04-04,98.9
2014-04-07,100
2014-04-08,99.9
2014-04-09,101.1
2014-04-10,100
2014-04-11,101
2014-04-16,99.7
2014-04-17,105.1
2014-04-21,104
2014-04-22,101
2014-04-23,101.2
2014-04-24,101.2
2014-04-25,104.1
2014-04-28,101.6
2014-04-29,101
2014-04-30,101.1
2014-05-02,103.9
2014-05-06,101.1
2014-05-07,101.3
2014-05-08,103
2014-05-09,103.4
2014-05-12,100.8
2014-05-13,103.4
2014-05-16,101.2
2014-05-19,101.1
2014-05-20,100.7
2014-05-21,101
2014-05-22,100.1
2014-05-23,100
2014-05-26,100
2014-05-27,100
2014-05-28,101
2014-05-29,100
2014-05-30,101.7
2014-06-02,99.8
2014-06-03,104
2014-06-04,103.6
2014-06-05,101.5
2014-06-06,103.7
2014-06-10,100
2014-06-11,101.6
2014-06-13,101
2014-06-16,103.8
2014-06-17,102
2014-06-18,101
2014-06-19,103.9
2014-06-20,102
2014-06-24,102
2014-06-25,103
2014-06-26,102
2014-06-27,101.6
2014-06-30,101.7
2014-07-01,103
2014-07-02,102
2014-07-03,104
2014-07-04,105
2014-07-07,110.2
2014-07-08,117.9
2014-07-09,116.1
2014-07-10,111
2014-07-11,110
2014-07-14,107.4
2014-07-15,112
2014-07-16,111.9
2014-07-17,115
2014-07-18,112.9
2014-07-21,115.8
2014-07-22,115.1
2014-07-23,116.6
2014-07-24,117.5
2014-07-25,117
2014-07-28,118.7
2014-07-30,118
2014-07-31,116.3
2014-08-01,116.5
2014-08-04,115.2
2014-08-05,116
2014-08-06,117.9
2014-08-07,123
2014-08-08,123.8
2014-08-11,124.5
2014-08-12,125
2014-08-13,129.2
2014-08-14,131
2014-08-15,117.5
2014-08-18,115.8
2014-08-19,117
2014-08-20,115.1
2014-08-21,115.2
2014-08-22,115
2014-08-25,119.7
2014-08-27,115.1
2014-08-28,115
2014-08-29,118.7
2014-09-01,118
2014-09-03,118.3
2014-09-04,117.9
2014-09-05,119.4
2014-09-09,123.4
2014-09-10,124.9
2014-09-11,125.1
2014-09-12,125.5
2014-09-15,125
2014-09-16,124.4
2014-09-17,124.8
2014-09-18,126.4
2014-09-19,128
2014-09-22,129.7
2014-09-23,129
2014-09-24,128
2014-09-25,128
2014-09-26,126.5
2014-09-29,125
2014-09-30,128.1
2014-10-01,125
2014-10-02,127.8
2014-10-03,120.9
2014-10-09,123.1
2014-10-10,123.8
2014-10-13,121.9
2014-10-14,123
2014-10-15,124
2014-10-17,122.8
2014-10-20,121
2014-10-21,120
2014-10-23,119.8
2014-10-24,117
2014-10-27,117
2014-10-28,117.2
2014-10-29,118.1
2014-10-30,118
2014-10-31,119.1
2014-11-03,119
2014-11-04,118.3
2014-11-05,118.5
2014-11-07,118.6
2014-11-10,117.5
2014-11-11,121
2014-11-12,119.3
2014-11-13,125.7
2014-11-14,125
2014-11-17,123
2014-11-18,129.2
2014-11-19,126
2014-11-20,125.2
2014-11-24,122
2014-11-25,118
2014-11-26,117.2
2014-11-27,116.5
2014-11-28,117
2014-12-01,112
2014-12-02,121.6
2014-12-03,122
2014-12-09,117.1
2014-12-10,116.5
2014-12-11,116.5
2014-12-12,116
2014-12-16,116.1
2014-12-17,114.3
2014-12-18,117.4
2014-12-19,116.1
2014-12-23,115.6
2014-12-29,115.5
2014-12-30,118.5
2014-12-31,118.5
2015-01-02,119
2015-01-06,119
2015-01-07,119.2
2015-01-08,119.8
2015-01-09,121.2
2015-01-12,125
2015-01-13,120.2
2015-01-16,126.9
2015-01-19,120.9
2015-01-20,121
2015-01-21,121
2015-01-26,120.3
2015-01-27,118
2015-01-28,118
2015-01-29,118
2015-01-30,123.5
2015-02-02,115.5
2015-02-06,120
2015-02-09,120
2015-02-10,123.1
2015-02-11,123
2015-02-12,120
2015-02-13,122.9
2015-02-16,120.9
2015-02-18,114
2015-02-19,114
2015-02-20,120
2015-02-23,119.9
2015-02-25,115
2015-03-02,110.3
2015-03-03,110.7
2015-03-04,111
2015-03-09,110.6
2015-03-10,110.6
2015-03-13,111.1
2015-03-16,113.1
2015-03-17,115
2015-03-18,114.9
2015-03-24,105
2015-03-25,113
2015-03-27,105.1
2015-03-30,110
2015-03-31,105.7
2015-04-01,106
2015-04-06,110.2
2015-04-07,110
2015-04-09,106.1
2015-04-16,113.1
2015-04-17,118
2015-04-20,118
2015-04-22,117
2015-04-24,116
2015-04-27,118
2015-04-28,114.9
2015-04-29,115
2015-04-30,115.1
2015-05-05,111
2015-05-06,116.8
2015-05-07,117.4
2015-05-08,121.3
2015-05-11,123
2015-05-12,122.7
2015-05-13,125.3
2015-05-14,124.6
2015-05-15,123
2015-05-18,125.4
2015-05-20,120
2015-05-21,127.4
2015-05-22,125
2015-05-25,121.5
2015-05-27,126.7
2015-05-28,125
2015-05-29,124.8
2015-06-01,125.6
2015-06-03,120.1
2015-06-04,125
2015-06-05,116
2015-06-08,120
2015-06-09,121.2
2015-06-10,124
2015-06-11,123
2015-06-12,123.9
2015-06-16,121
2015-06-17,118.1
2015-06-18,118.1
2015-06-19,120
2015-06-22,121
2015-06-23,121
2015-06-24,123
2015-06-29,122
2015-06-30,122.5
2015-07-02,118
2015-07-03,118
2015-07-06,118
2015-07-07,122
2015-07-08,122
2015-07-09,117
2015-07-13,117
2015-07-14,117
2015-07-15,121
2015-07-16,121
2015-07-17,121
2015-07-20,122
2015-07-21,120
2015-07-22,126
2015-07-23,128.7
2015-07-24,133.7
2015-07-27,131.8
2015-07-28,130.4
2015-07-29,135.2
2015-07-30,135.2
2015-08-03,135.2
2015-08-04,132
2015-08-05,138.5
2015-08-06,141.8
2015-08-07,140.7
2015-08-10,146.5
2015-08-11,158.7
2015-08-12,154.3
2015-08-13,155.7
2015-08-14,162.6
2015-08-17,155.5
2015-08-18,153
2015-08-19,152.6
2015-08-20,149.9
2015-08-21,153
2015-08-24,145.5
2015-08-25,140.6
2015-08-26,143.9
2015-08-27,150.7
2015-08-28,153
2015-08-31,147.1
2015-09-01,147.1
2015-09-02,145.5
2015-09-03,145.2
2015-09-04,145.1
2015-09-07,143
2015-09-08,140.3
2015-09-09,142.8
2015-09-10,140
2015-09-11,139
2015-09-14,139
2015-09-15,145
2015-09-16,140.2
2015-09-17,139.7
2015-09-18,140
2015-09-21,137.2
2015-09-22,144.6
2015-09-23,143.7
2015-09-25,143.6
2015-09-28,138.3
2015-09-29,139
2015-09-30,137.8
2015-10-01,140
2015-10-02,142
2015-10-05,139.9
2015-10-06,140.7
2015-10-07,144.8
2015-10-08,145.4
2015-10-09,148.2
2015-10-12,146
2015-10-13,143.4
2015-10-14,143
2015-10-15,140
2015-10-16,139.9
2015-10-19,139.9
2015-10-20,139.9
2015-10-21,140
2015-10-22,147.1
2015-10-23,150.1
2015-10-26,150.1
2015-10-28,150.1
2015-10-29,145.7
2015-10-30,142.3
2015-11-02,144.8
2015-11-03,144.2
2015-11-05,138.3
2015-11-06,138.3
2015-11-11,140
2015-11-12,140
2015-11-13,139.9
2015-11-16,141.9
2015-11-17,142.8
2015-11-18,144.6
2015-11-19,146
2015-11-23,147.1
2015-11-24,143
2015-11-27,143
2015-12-02,143
2015-12-03,143
2015-12-04,145.8
2015-12-08,140.4
2015-12-09,140.4
2015-12-10,140.4
2015-12-11,140
2015-12-14,138.3
2015-12-15,137.4
2015-12-16,139
2015-12-17,139
2015-12-18,139
2015-12-21,139
2015-12-22,140
2015-12-23,140
2015-12-28,139
2015-12-29,138.9
2015-12-30,138.9
2015-12-31,135.4
2016-01-04,135.4
2016-01-06,135.6
2016-01-07,135.6
2016-01-08,131.6
2016-01-11,128
2016-01-12,128
2016-01-13,125
2016-01-14,124.8
2016-01-18,120
2016-01-19,116.4
2016-01-21,118.6
2016-01-22,119
2016-01-25,119.1
2016-01-27,119.1
2016-01-28,119
2016-01-29,120
2016-02-01,120
2016-02-02,119.9
2016-02-03,119.9
2016-02-05,120.3
2016-02-08,120
2016-02-09,117.4
2016-02-10,120
2016-02-11,115
2016-02-15,114
2016-02-16,116.4
2016-02-17,118.6
2016-02-18,119.8
2016-02-19,120.9
2016-02-23,117
2016-02-24,116.5
2016-02-25,116.5
2016-02-29,112
2016-03-01,116
2016-03-02,110.1
2016-03-03,110
2016-03-04,108.1
2016-03-08,102.8
2016-03-09,103.1
2016-03-10,108.6
2016-03-11,108.5
2016-03-14,106.6
2016-03-15,106.9
2016-03-16,111.1
2016-03-17,112.6
2016-03-18,109
2016-03-23,110
2016-03-24,110
2016-03-28,110
2016-03-29,101
2016-03-30,101
2016-03-31,111.1
2016-04-01,111.1
2016-04-04,112.8
2016-04-05,116.3
2016-04-06,116.3
2016-04-07,120
2016-04-08,120.1
2016-04-11,118
2016-04-12,121
2016-04-15,122.9
2016-04-18,120.4
2016-04-20,123.3
2016-04-22,123.6
2016-04-25,120
2016-04-26,125.4
2016-04-27,127.1
2016-04-28,129.1
2016-04-29,132
2016-05-03,131
2016-05-04,130.1
2016-05-05,130
2016-05-06,132
2016-05-09,130
2016-05-10,128.8
2016-05-11,129.8
2016-05-12,129
2016-05-13,137.1
2016-05-16,137.1
2016-05-17,134
2016-05-18,133.2
2016-05-19,135.1
2016-05-20,131.2
2016-05-24,131.5
2016-05-25,131.5
2016-05-26,132.1
2016-05-27,132.5
2016-05-30,133.4
2016-06-01,131.5
2016-06-03,130
2016-06-06,129.9
2016-06-07,129.9
2016-06-08,131.4
